comment	Top_Class	HateSpeech_Confidence	Ofensive_Language_Confidence	Neither_Confidence
hello	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
daddy  live kappa	neither	0.0434710022431837	0.3289941845420954	0.627534813214721
pogchamp pogchamp pogchamp pogchamp	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
love  bjerg 	neither	0.03217296676969875	0.3657703709031763	0.602056662327125
  stream work	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
  think theshy   best player  worlds ment	neither	0.03450142512279415	0.39709137166293906	0.5684072032142666
bjerg 	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
yoo	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
baby miss youu	neither	0.03308535416421207	0.332566285156604	0.634348360679184
yo long time  see man	offensive_language	0.038303303410984174	0.49392915581916974	0.46776754076984606
hope    good stream ment	neither	0.07758671054008896	0.21443970496604575	0.7079735844938653
  broo	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
mention   fine n clear	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
sup	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
pog	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
bjerg senpai  	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
wot bjerg	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
squadomega	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
bjergsen finall man	neither	0.03960195919676192	0.39982609383172646	0.5605719469715116
 legend	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
house  lookin real empti	neither	0.03162123494500252	0.4699681393917213	0.49841062566327626
hi	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
heyi	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
tsm	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
lffntsm	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
king  back	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
 tsm bjegrsen even work	neither	0.03856540390976166	0.3454444479673558	0.6159901481228826
ayo	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
undefeated  worlds 	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
hello fellow gam	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
stream  back pog	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
 bjeard	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
bjergsen	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
best midlaner   world pogchamp	neither	0.0386246103783956	0.3234375145616439	0.6379378750599606
bjrgsen	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
hai	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
oh wow finally  stream	neither	0.04378371358043275	0.2888489990148336	0.6673672874047336
urf zed  way	neither	0.03967691632236666	0.3322493890567409	0.6280736946208925
hello 	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
pogchamp	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
urf zed pog	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
welcom	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
rare stream	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
hello  miss youuu	neither	0.03360208683273279	0.33238855709681187	0.6340093560704554
bjerg omg	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
daddy bjerg	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
pog	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
bjerg stream pog	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
omg   	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
holy shit  	offensive_language	0.04257650662097627	0.9573463282193174	7.716515970639687e-05
 fan btw	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
hi	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
yo bjerg	offensive_language	0.04010381111145228	0.5271105317972344	0.4327856570913131
   always get shit talked   games    tsm lcs pass huh	offensive_language	0.048431055923453314	0.9280114779865636	0.02355746608998305
partyporo	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
   last stream ment	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
frostyykc subscribed  twitch prime 	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
huh pogchamp	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
thanks  subbing mention enjoy  banana bjergbanana	neither	0.037993521442588774	0.31815285706309504	0.6438536214943162
hello bjergsen	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
missed 	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
vzuwzhvwhzhz	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
pogger	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
yes  	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
mention hi bjerg	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
tsm ahahahahahh	neither	0.03945320844208391	0.33037608806864915	0.630170703489267
